table_index,csv_path,row_count,col_count,unit,col_types
100,tables/table_0100.csv,32,4,,"{""지역"": ""텍스트"", ""기업명"": ""텍스트"", ""업종"": ""텍스트"", ""지분율 (%)(*)"": ""%""}"
101,tables/table_0101.csv,29,4,,"{""지역"": ""텍스트"", ""기업명"": ""텍스트"", ""업종"": ""텍스트"", ""지분율 (%)(*)"": ""%""}"
102,tables/table_0102.csv,31,4,,"{""지역"": ""텍스트"", ""기업명"": ""텍스트"", ""업종"": ""텍스트"", ""지분율 (%)(*)"": ""%""}"
103,tables/table_0103.csv,27,6,백만원,"{""구분"": ""텍스트"", ""기업명(*1)"": ""텍스트"", ""매출 등"": ""금액"", ""비유동자산 처분"": ""금액"", ""매입 등"": ""금액"", ""비유동자산 매입"": ""금액""}"
104,tables/table_0104.csv,13,6,백만원,"{""구분"": ""텍스트"", ""기업명(*1)"": ""텍스트"", ""매출 등"": ""금액"", ""비유동자산 처분"": ""금액"", ""매입 등"": ""금액"", ""비유동자산 매입"": ""금액""}"
105,tables/table_0105.csv,27,6,백만원,"{""구분"": ""텍스트"", ""기업명(*1)"": ""텍스트"", ""매출 등"": ""금액"", ""비유동자산 처분"": ""금액"", ""매입 등"": ""금액"", ""비유동자산 매입"": ""금액""}"
106,tables/table_0106.csv,13,6,백만원,"{""구분"": ""텍스트"", ""기업명(*1)"": ""텍스트"", ""매출 등"": ""금액"", ""비유동자산 처분"": ""금액"", ""매입 등"": ""금액"", ""비유동자산 매입"": ""금액""}"
107,tables/table_0107.csv,27,4,백만원,"{""구분"": ""텍스트"", ""기업명(*1)"": ""텍스트"", ""채권 등(*2)"": ""금액"", ""채무 등(*3)"": ""금액""}"
108,tables/table_0108.csv,13,4,백만원,"{""구분"": ""텍스트"", ""기업명(*1)"": ""텍스트"", ""채권 등"": ""금액"", ""채무 등(*2)"": ""금액""}"
109,tables/table_0109.csv,27,4,백만원,"{""구분"": ""텍스트"", ""기업명(*1)"": ""텍스트"", ""채권 등(*2)"": ""금액"", ""채무 등(*3)"": ""금액""}"
110,tables/table_0110.csv,13,4,백만원,"{""구 분"": ""텍스트"", ""기업명(*1)"": ""텍스트"", ""채권 등"": ""금액"", ""채무 등(*2)"": ""금액""}"
111,tables/table_0111.csv,3,3,백만원,"{""구 분"": ""텍스트"", ""당기"": ""금액"", ""전기"": ""금액""}"
113,tables/table_0113.csv,2,5,,"{""0"": ""텍스트"", ""1"": ""텍스트"", ""2"": ""텍스트"", ""3"": ""텍스트"", ""4"": ""텍스트""}"
114,tables/table_0114.csv,7,16,"명, 시간","{""0"": ""텍스트"", ""1"": ""텍스트"", ""2"": ""혼용"", ""3"": ""혼용"", ""4"": ""혼용"", ""5"": ""혼용"", ""6"": ""혼용"", ""7"": ""혼용"", ""8"": ""혼용"", ""9"": ""혼용"", ""10"": ""혼용"", ""11"": ""혼용"", ""12"": ""혼용"", ""13"": ""혼용"", ""14"": ""혼용"", ""15"": ""혼용""}"
115,tables/table_0115.csv,21,10,"명, 시간","{""0"": ""텍스트"", ""1"": ""텍스트"", ""2"": ""텍스트"", ""3"": ""텍스트"", ""4"": ""텍스트"", ""5"": ""텍스트"", ""6"": ""텍스트"", ""7"": ""텍스트"", ""8"": ""텍스트"", ""9"": ""텍스트""}"
116,tables/table_0116.csv,6,5,"명, 시간","{""구분"": ""텍스트"", ""일자"": ""텍스트"", ""참석자"": ""텍스트"", ""방식"": ""텍스트"", ""주요 논의 내용"": ""텍스트""}"
